"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"Q9Y282",0,0,0,4,0,0,0,2,0,0,0,0,0,0
"O75477",0,0,0,0,0,0,3,8,11,12,14,8,10,5
"Q9BSJ8",0,1,5,2,4,6,15,0,0,6,9,4,4,0
"A0FGR8",0,0,0,2,4,6,0,5,7,0,0,0,0,0
"Q01844",0,0,4,24,11,21,11,15,4,3,0,0,0,0
"Q52LJ0",0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Q14318",0,0,0,6,4,0,0,2,0,4,0,0,0,0
"Q14254",0,0,0,0,0,0,0,21,39,22,17,8,2,0
"Q16658",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Q96AE4",0,1,16,24,16,24,12,11,11,3,3,0,0,0
"Q92945",0,16,0,0,0,0,0,0,0,0,0,0,0,0
"P35637",0,0,0,18,12,14,2,0,0,0,0,0,0,0
"P11413",0,0,0,0,3,0,17,2,0,0,0,0,0,0
"Q14C86",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"P63244",0,0,0,0,10,27,23,76,64,70,72,94,89,64
"P35573",0,0,6,17,3,5,0,0,0,0,0,0,0,0
"P52565",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"P46976",0,0,0,0,0,0,0,0,0,19,24,16,0,0
"O14653",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q9UBQ7",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P11021",0,70,325,264,350,302,202,204,212,201,156,101,109,74
"P49841",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Q9P035",0,0,4,0,0,0,17,3,6,12,6,4,4,0
"O00165",0,0,5,17,9,9,0,0,0,0,0,0,0,0
"Q16836",0,0,0,13,6,10,0,8,11,0,0,0,0,0
"Q92769",0,0,2,0,0,0,0,0,2,0,0,0,0,0
"Q15751",0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Q8TCT9",0,0,0,3,0,6,8,0,3,0,0,0,0,0
"Q9UK76",0,53,0,11,3,0,0,0,0,0,0,0,0,0
"P31943",0,0,21,15,18,8,12,8,12,15,7,6,4,1
"P07910",0,0,0,8,19,23,21,21,27,30,28,32,24,16
"P07900",0,14,86,50,72,66,45,58,79,67,45,30,27,5
"Q7Z6Z7",0,24,87,50,8,4,0,1,1,2,0,0,0,0
"P20810",0,7,0,11,9,18,0,0,7,5,0,0,0,0
"Q14197",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O43837",0,0,5,0,3,0,7,4,3,0,0,0,0,0
"Q14240",0,0,0,0,0,3,2,2,0,1,0,0,0,0
"Q04637",0,22,0,15,58,68,21,24,22,48,48,39,26,3
"P63241",0,0,8,23,23,26,0,4,5,3,0,0,0,0
"P20839",0,0,11,8,4,1,0,0,0,0,0,0,0,0
"Q8TEX9",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O00410",0,0,0,0,0,0,9,4,5,0,0,0,0,0
"Q9H2U2",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q9Y4H2",0,11,0,0,0,1,0,0,0,0,0,0,0,0
"Q96AB3",0,0,0,3,0,0,1,0,0,0,0,0,0,0
"P26006",0,1,7,4,11,12,3,0,0,0,0,0,0,0
"P00568",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"O60341",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Q9NSK0",0,12,0,0,0,0,0,0,0,0,0,0,0,0
"P46020",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"P32004",0,0,3,0,1,4,6,6,0,0,0,0,0,0
"Q71RC2",0,0,0,0,0,0,0,0,0,0,8,12,8,0
"Q14847",0,0,0,0,0,0,0,0,0,3,0,0,5,0
"Q9Y2Q5",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"P27816",0,0,0,19,13,26,9,22,15,47,85,80,65,27
"P43243",0,0,13,5,27,36,25,42,44,8,1,3,0,0
"Q9GZY8",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Q8IWA4",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"P33527",0,0,0,3,14,9,0,0,0,0,0,0,0,0
"P35580",0,0,3,0,3,0,0,2,4,2,2,2,0,0
"Q12965",0,0,0,0,0,0,6,2,5,0,0,0,0,0
"Q13765",0,14,20,40,30,33,17,15,17,25,31,31,27,19
"P49321",0,0,0,0,8,4,5,0,2,0,0,0,0,0
"Q6PIU2",0,0,0,0,6,0,8,0,11,0,0,0,0,0
"O75376",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P16435",0,0,0,1,11,5,2,20,3,9,0,0,0,0
"O95299",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Q96D46",0,0,0,0,0,0,0,4,1,0,0,0,0,0
"Q9ULX3",0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Q9Y3C1",0,0,0,0,0,0,0,14,5,0,4,5,5,0
"Q8TAT6",0,0,7,4,8,0,4,0,0,0,0,0,0,0
"Q9UNZ2",0,3,31,6,2,0,0,0,0,0,0,0,0,0
"Q9H1E3",0,8,9,23,9,15,0,0,0,0,0,0,0,0
"P29803",0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Q13310",0,0,0,0,0,0,0,0,0,45,52,53,36,0
"Q3YEC7",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Q8WUM4",0,0,0,2,0,2,0,2,1,2,0,0,3,0
"Q15084",0,4,33,34,49,46,36,22,32,37,24,15,13,1
