"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"Q96RI1",0,0,0,0,0,0,0,0,0,3
"P36957",0,0,2,2,0,0,0,0,0,0
"Q9Y3B8",0,0,0,0,4,0,0,0,0,0
"P11940",0,0,4,0,4,4,0,0,0,0
"Q9NQP4",0,0,0,0,9,0,0,0,0,0
"Q6XQN6",0,0,9,0,0,0,0,0,0,0
"Q9UL46",0,0,0,0,2,0,0,0,0,0
"P22234",0,0,0,10,0,0,0,0,0,0
"P35241",0,0,0,0,0,14,2,0,0,0
"Q9NQC3",2,0,4,0,0,0,0,0,0,0
"P05109",0,0,0,0,0,0,4,0,0,0
"Q99584",0,0,0,0,0,8,0,0,0,0
"Q15637",0,0,0,0,0,0,0,0,1,0
"O00193",0,0,0,2,1,0,0,0,0,0
"Q15714",0,0,6,0,0,0,0,0,0,0
"Q71U36",2,9,2,26,7,7,0,3,2,11
"P68363",0,0,0,4,0,0,0,0,0,1
"P07437",0,0,0,4,0,0,0,0,0,4
"P13693",0,0,0,4,0,0,0,0,0,0
"Q86V81",0,0,0,0,0,0,0,0,0,2
"P29401",4,2,0,0,0,0,37,138,196,260
"O43399",0,2,6,9,0,0,0,0,0,7
"P02788",0,0,0,5,9,0,0,0,0,0
"P51668",0,0,0,0,0,2,3,4,4,0
"P62837",0,0,0,0,0,0,0,4,0,0
"P49459",0,0,0,12,0,0,0,0,0,0
"Q6FIF0",0,0,0,1,1,2,0,0,0,0
"Q96B54",0,0,1,1,0,0,0,0,0,0
"Q15942",0,0,0,3,0,0,0,0,0,3
