"","LTQ_HeLaNE_SAF_Fraction01","LTQ_HeLaNE_SAF_Fraction02","LTQ_HeLaNE_SAF_Fraction03","LTQ_HeLaNE_SAF_Fraction04","LTQ_HeLaNE_SAF_Fraction05","LTQ_HeLaNE_SAF_Fraction06","LTQ_HeLaNE_SAF_Fraction07","LTQ_HeLaNE_SAF_Fraction08","LTQ_HeLaNE_SAF_Fraction09","LTQ_HeLaNE_SAF_Fraction10","LTQ_HeLaNE_SAF_Fraction11","LTQ_HeLaNE_SAF_Fraction12","LTQ_HeLaNE_SAF_Fraction13","LTQ_HeLaNE_SAF_Fraction14","LTQ_HeLaNE_SAF_Fraction15","LTQ_HeLaNE_SAF_Fraction16","LTQ_HeLaNE_SAF_Fraction17","LTQ_HeLaNE_SAF_Fraction18","LTQ_HeLaNE_SAF_Fraction19","LTQ_HeLaNE_SAF_Fraction20","LTQ_HeLaNE_SAF_Fraction21","LTQ_HeLaNE_SAF_Fraction22","LTQ_HeLaNE_SAF_Fraction23","LTQ_HeLaNE_SAF_Fraction24","LTQ_HeLaNE_SAF_Fraction25","LTQ_HeLaNE_SAF_Fraction26","LTQ_HeLaNE_SAF_Fraction27","LTQ_HeLaNE_SAF_Fraction28","LTQ_HeLaNE_SAF_Fraction29","LTQ_HeLaNE_SAF_Fraction30","LTQ_HeLaNE_SAF_Fraction31","LTQ_HeLaNE_SAF_Fraction32","LTQ_HeLaNE_SAF_Fraction33","LTQ_HeLaNE_SAF_Fraction34","LTQ_HeLaNE_SAF_Fraction35","LTQ_HeLaNE_SAF_Fraction36","LTQ_HeLaNE_SAF_Fraction37","LTQ_HeLaNE_SAF_Fraction38","LTQ_HeLaNE_SAF_Fraction39","LTQ_HeLaNE_SAF_Fraction40","LTQ_HeLaNE_SAF_Fraction41","LTQ_HeLaNE_SAF_Fraction42","LTQ_HeLaNE_SAF_Fraction43","LTQ_HeLaNE_SAF_Fraction44","LTQ_HeLaNE_SAF_Fraction45","LTQ_HeLaNE_SAF_Fraction46","LTQ_HeLaNE_SAF_Fraction47","LTQ_HeLaNE_SAF_Fraction48"
"P13798",0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P35609",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O43707",0,0,0,44,24,50,33,13,39,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P11766",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P55263",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9NRN7",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q16186",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q96SZ5",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5TGY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q09666",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,9,11,46,46,21,84,199,294,287,133,76,54,50,33,21,21,3,0,0,24,0,2,0,0,0,0,0,0,0
"O95433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q8NCW5",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P42330",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P49419",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P09972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P15121",0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P50579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
