"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"Q07065",0,0,4,0,6,9,9,11,9,29,41,37,22,8
"P09496",12,10,9,0,0,0,0,0,0,0,0,0,0,0
"P09497",6,9,2,0,0,0,0,0,0,0,0,0,0,0
"Q00610",0,7,57,198,241,279,250,184,99,53,61,17,0,1
"Q96KA5",0,0,0,0,9,7,5,0,0,0,0,0,0,0
"O75746",0,0,4,4,14,11,21,0,6,0,1,0,0,0
"Q9Y224",0,1,14,0,0,0,0,0,0,0,0,0,0,0
"Q15021",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q8NE01",0,0,0,0,3,1,0,0,0,0,0,0,0,0
"O75175",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"P23528",8,15,15,8,3,2,4,2,4,0,0,0,0,0
"Q9Y281",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P53618",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"P48444",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q9UBF2",0,0,1,0,0,0,0,2,0,0,0,0,0,0
"Q9BR76",0,10,36,29,13,5,0,0,0,0,0,0,0,0
"Q7KZN9",0,0,6,8,9,10,15,2,0,0,0,0,0,0
"P00403",0,0,10,17,28,25,30,21,9,12,0,0,0,0
"P13073",0,0,13,22,21,20,14,14,25,28,28,20,2,6
"P20674",0,26,66,66,76,67,56,41,52,39,30,18,4,2
"P10606",0,0,43,39,16,38,19,42,45,59,40,26,0,0
"P09669",0,0,0,5,5,2,2,0,0,0,0,0,0,0
"Q86YQ8",0,0,0,0,0,7,4,0,0,0,0,0,0,0
"O43809",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Q8N684",0,3,2,3,0,1,0,0,0,0,0,0,0,0
"P50416",0,0,4,12,14,13,15,13,1,0,0,0,0,0
"Q8N2U0",0,0,0,2,3,6,5,0,0,0,0,0,0,0
"Q8IVT2",0,0,0,0,0,0,8,8,13,20,19,13,0,0
"Q9BSF4",0,0,0,0,0,0,0,2,2,0,0,0,0,0
"P21291",18,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q05048",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P33240",3,10,8,0,0,0,0,0,0,0,0,0,0,0
"Q9NWU2",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"O43402",0,0,0,0,0,0,0,0,3,4,0,0,0,0
"P78310",0,0,0,0,4,5,7,4,0,0,0,0,0,0
"P08574",0,0,0,45,40,45,38,30,33,28,18,5,0,0
"P16989",0,0,0,10,17,20,17,16,10,14,11,12,4,7
"Q9Y6G9",0,8,6,2,4,2,0,0,0,0,0,0,0,0
"O43237",0,7,11,0,0,0,0,0,0,0,0,0,0,0
"Q16531",0,2,7,4,0,0,0,0,0,0,0,0,0,0
"Q96HY6",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Q92499",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Q9NUL7",0,0,0,0,10,9,0,0,0,0,0,0,0,0
"O00571",2,10,32,34,0,9,12,8,0,0,0,1,0,0
"P17844",0,0,2,1,10,15,20,24,11,35,33,6,0,0
"P15924",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"P31040",1,10,22,33,35,25,26,18,3,0,0,0,0,0
"P21912",0,0,3,9,11,9,11,15,0,0,0,0,0,0
"O43143",0,0,0,1,0,3,6,6,9,0,11,5,0,0
"Q7L2E3",0,0,0,5,10,13,13,12,0,5,11,0,0,0
"Q9H2U1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q08211",0,0,0,1,15,42,82,118,89,68,45,20,5,2
"Q9NVH1",0,0,1,6,0,9,6,8,0,0,0,0,0,0
"P09622",0,0,10,13,26,11,10,12,0,0,0,0,0,0
"P31689",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Q96EY1",0,0,0,6,5,0,0,6,2,0,0,0,0,0
"Q9C005",0,16,4,4,3,2,2,0,0,0,0,0,0,0
"Q16643",0,8,25,31,25,19,7,2,0,0,0,0,0,0
"Q6IAN0",0,0,0,0,0,0,0,10,1,0,0,0,0,0
"Q14126",0,12,32,53,48,56,40,37,9,9,0,0,0,0
